number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_epochs,params_learning_rate,params_lstm1_units,params_lstm2_units,params_seq_size,state
0,0.0017404973041266203,2026-01-29 21:18:23.656313,2026-01-29 21:40:10.157022,0 days 00:21:46.500709,128,0.12858924385178425,30,0.009483808155823175,256,128,20,COMPLETE
1,0.012792390771210194,2026-01-29 21:40:10.164353,2026-01-29 21:59:31.763359,0 days 00:19:21.599006,64,0.29637012668284435,40,0.0032696192603688615,64,32,40,COMPLETE
2,0.0008232450927607715,2026-01-29 21:59:31.770238,2026-01-30 00:11:30.692397,0 days 02:11:58.922159,32,0.12351610692181327,40,0.0010010062354160513,64,128,20,COMPLETE
3,0.005237286910414696,2026-01-30 00:11:30.700180,2026-01-30 01:10:05.910114,0 days 00:58:35.209934,32,0.15828277532519835,20,0.0010219060853582467,256,32,40,COMPLETE
4,0.0017100796103477478,2026-01-30 01:10:05.916871,2026-01-30 02:07:50.101443,0 days 00:57:44.184572,64,0.3590077728239178,30,0.0004129667270152106,128,128,20,COMPLETE
5,0.014973850920796394,2026-01-30 02:07:50.113532,2026-01-30 02:28:10.564374,0 days 00:20:20.450842,128,0.3623398673302656,20,0.00013731860758024362,128,32,30,COMPLETE
6,0.019817473366856575,2026-01-30 02:28:10.572893,2026-01-30 02:46:11.417264,0 days 00:18:00.844371,128,0.33401043420042953,30,0.00012423904701388866,64,64,50,COMPLETE
7,0.00991592276841402,2026-01-30 02:46:11.424913,2026-01-30 03:08:32.435619,0 days 00:22:21.010706,64,0.3178865088053144,30,0.0010271901985675442,64,32,30,COMPLETE
8,0.002770643914118409,2026-01-30 03:08:32.442701,2026-01-30 03:48:34.330201,0 days 00:40:01.887500,64,0.12613271535679424,20,0.004996416126060911,128,64,40,COMPLETE
9,0.0033211028203368187,2026-01-30 03:48:34.337373,2026-01-30 05:07:29.271973,0 days 01:18:54.934600,32,0.2521997563840611,30,0.004651514688124369,256,32,30,COMPLETE
10,0.0015066028572618961,2026-01-30 05:07:29.279934,2026-01-30 06:38:10.350967,0 days 01:30:41.071033,32,0.20165610007127843,50,0.00037422559224302025,64,128,20,COMPLETE
11,0.002418499207124114,2026-01-30 06:38:10.358847,2026-01-30 08:16:11.990452,0 days 01:38:01.631605,32,0.19648925871802403,50,0.0004061576610894585,64,128,20,COMPLETE
12,0.0019949779380112886,2026-01-30 08:16:11.997521,2026-01-30 09:27:57.625793,0 days 01:11:45.628272,32,0.20422145701153335,50,0.0004295721470568941,64,128,20,COMPLETE
13,0.0012812797212973237,2026-01-30 09:27:57.633802,2026-01-30 10:39:50.829154,0 days 01:11:53.195352,32,0.10319486305614035,40,0.0019049651396425423,64,128,20,COMPLETE
14,0.0025660379324108362,2026-01-30 10:39:50.837312,2026-01-30 11:31:21.743283,0 days 00:51:30.905971,32,0.108792459039493,40,0.0019641260706837536,64,128,50,COMPLETE
15,0.001387591939419508,2026-01-30 11:31:21.750655,2026-01-30 12:42:43.668444,0 days 01:11:21.917789,32,0.16233472909394855,40,0.0017123666421878369,64,128,20,COMPLETE
16,0.0018935304833576083,2026-01-30 12:42:43.676881,2026-01-30 13:58:27.575468,0 days 01:15:43.898587,32,0.25790907559879594,40,0.0017649650701829713,64,128,20,COMPLETE
17,0.0012808693572878838,2026-01-30 13:58:27.582615,2026-01-30 16:00:48.320032,0 days 02:02:20.737417,32,0.10354268833100172,40,0.0006756607574492196,64,64,20,COMPLETE
18,0.0050163003616034985,2026-01-30 16:00:48.327463,2026-01-30 17:14:49.270337,0 days 01:14:00.942874,32,0.3965643864928603,50,0.0006567311856259133,256,64,50,COMPLETE
19,0.005918694194406271,2026-01-30 17:14:49.279024,2026-01-30 17:49:34.419733,0 days 00:34:45.140709,128,0.15819469251404383,40,0.00018012279346063306,128,64,20,COMPLETE
20,0.002457184949889779,2026-01-30 17:49:34.427665,2026-01-30 18:52:56.121607,0 days 01:03:21.693942,32,0.23176222276973582,50,0.0006440497538167891,64,64,20,COMPLETE
21,0.0013596054632216692,2026-01-30 18:52:56.128500,2026-01-30 20:25:43.727635,0 days 01:32:47.599135,32,0.10032227303373922,40,0.0012758567806656323,64,64,20,COMPLETE
22,0.002007153583690524,2026-01-30 20:25:43.735183,2026-01-30 21:11:25.634317,0 days 00:45:41.899134,32,0.13842544955140804,40,0.0028290415486984313,64,128,20,COMPLETE
23,0.001478533260524273,2026-01-30 21:11:25.642632,2026-01-30 22:38:59.994054,0 days 01:27:34.351422,32,0.174216097321706,40,0.000703622593955474,64,128,20,COMPLETE
24,0.0017281550681218505,2026-01-30 22:39:00.001853,2026-01-31 01:06:39.896232,0 days 02:27:39.894379,32,0.10935704864281147,40,0.00026739706910683647,64,64,20,COMPLETE
25,0.0013591956812888384,2026-01-31 01:06:39.903749,2026-01-31 02:22:35.438054,0 days 01:15:55.534305,32,0.13567660502736711,30,0.00142413937025993,64,128,20,COMPLETE
26,0.001702221343293786,2026-01-31 02:22:35.446744,2026-01-31 04:38:25.326216,0 days 02:15:49.879472,32,0.10087573420885859,40,0.002460842967553871,64,64,40,COMPLETE
27,0.0016790054505690932,2026-01-31 04:38:25.333382,2026-01-31 06:04:21.977594,0 days 01:25:56.644212,32,0.18036595176654735,50,0.000800350825366705,64,128,30,COMPLETE
28,0.007736330386251211,2026-01-31 06:04:21.985474,2026-01-31 06:52:50.619940,0 days 00:48:28.634466,64,0.14591012352743768,40,0.0002389842351822356,256,64,50,COMPLETE
29,0.0015117420116439462,2026-01-31 06:52:50.628507,2026-01-31 07:10:10.413464,0 days 00:17:19.784957,128,0.12410333312679254,30,0.006539318850817151,128,128,20,COMPLETE
30,0.0013862927444279194,2026-01-31 07:10:10.422874,2026-01-31 07:34:31.326020,0 days 00:24:20.903146,128,0.22500786868204434,50,0.009022936862847225,256,128,20,COMPLETE
31,0.001683285110630095,2026-01-31 07:34:31.333762,2026-01-31 08:35:03.891558,0 days 01:00:32.557796,32,0.1256672842282142,30,0.0012683296443706242,64,128,20,COMPLETE
32,0.001285773585550487,2026-01-31 08:35:03.898001,2026-01-31 10:02:25.725213,0 days 01:27:21.827212,32,0.13917681723640246,30,0.0012793374143498437,64,128,20,COMPLETE
33,0.0020854147151112556,2026-01-31 10:02:25.732645,2026-01-31 10:48:27.477962,0 days 00:46:01.745317,32,0.1472826530120202,40,0.003463473615987102,64,128,20,COMPLETE
34,0.0022602786775678396,2026-01-31 10:48:27.485740,2026-01-31 12:16:33.032252,0 days 01:28:05.546512,32,0.27383552083615975,20,0.0009148860140202246,64,128,40,COMPLETE
35,0.0019341259030625224,2026-01-31 12:16:33.040688,2026-01-31 13:03:11.266550,0 days 00:46:38.225862,64,0.12101811268276563,30,0.002079722483166959,64,32,20,COMPLETE
36,0.0017928604502230883,2026-01-31 13:03:11.273373,2026-01-31 14:26:38.003065,0 days 01:23:26.729692,32,0.17660646327459267,40,0.0004951777969417181,64,128,20,COMPLETE
37,0.002321436768397689,2026-01-31 14:26:38.009545,2026-01-31 16:20:41.354133,0 days 01:54:03.344588,32,0.11524850374917392,30,0.001060427685171868,128,32,30,COMPLETE
38,0.002344863023608923,2026-01-31 16:20:41.361600,2026-01-31 16:42:59.620789,0 days 00:22:18.259189,128,0.15346117153333955,20,0.0015069056024541927,64,128,40,COMPLETE
39,0.0010592711623758078,2026-01-31 16:42:59.629783,2026-01-31 17:57:38.102973,0 days 01:14:38.473190,64,0.1418625267335051,40,0.0005491477802503959,256,64,20,COMPLETE
40,0.0033223924692720175,2026-01-31 17:57:38.110608,2026-01-31 18:46:20.575651,0 days 00:48:42.465043,64,0.1672250413968317,40,0.0005934173302790371,256,64,50,COMPLETE
41,0.001409602351486683,2026-01-31 18:46:20.584285,2026-01-31 20:03:14.575997,0 days 01:16:53.991712,64,0.13400911240513771,40,0.00031283202827970136,256,64,20,COMPLETE
42,0.00154293910600245,2026-01-31 20:03:14.584666,2026-01-31 20:45:19.065174,0 days 00:42:04.480508,64,0.18913144202552837,40,0.0008815559403581356,256,64,20,COMPLETE
