AphA,Conn,Conn_WinTms,Hz,OutPFSet,OutPFSet_RmpTms,PF,PhVphA,Ris,St,StActCtl,VA,VAMax,VAr,VArMaxPct,VArPct_RmpTms,VRef,W,WH,WMaxLimPct,WMaxLimPct_RmpTms,DCV,DCA,DCW
18.47,1,0,60,10,0,-100,238.5,655.35,4,0,4408.011,563.25,10,0,0,614.4,4408,89383176,100,0,365.15,12.46,4549.769
18.81,1,0,60,10,0,-100,238.5,655.35,4,0,4480.011,563.25,10,0,0,614.4,4480,89383176,100,0,365.15,12.46,4549.769
18.81,1,0,60,10,0,-100,238.5,655.35,4,0,4480.011,563.25,10,0,0,614.4,4480,89383176,100,0,363.7,12.88,4684.456
18.983,1,0,60,10,0,-100,238.567,655.35,4,0,4522.011,563.25,10,0,0,614.4,4522,89383178.67,100,0,365.3,13.04,4763.512
19.33,1,0,60,10,0,-100,238.7,655.35,4,0,4606.011,563.25,10,0,0,614.4,4606,89383184,100,0,365.3,13.04,4763.512
19.31,1,0,60,10,0,-100,238.6,655.35,4,0,4606.011,563.25,10,0,0,614.4,4606,89383184,100,0,365.65,12.72,4651.068
18.74,1,0,60,10,0,-100,238.6,655.35,4,0,4478.011,563.25,10,0,0,614.4,4478,89383192,100,0,367.1,12.39,4548.369
18.74,1,0,60,10,0,-100,238.6,655.35,4,0,4478.011,563.25,10,0,0,614.4,4478,89383192,100,0,367.1,12.39,4548.369
18.74,1,0,60,10,0,-100,238.6,655.35,4,0,4478.011,563.25,10,0,0,614.4,4478,89383192,100,0,363.75,12.31,4477.762
18.25,1,0,60,10,0,-100,238.5,655.35,4,0,4358.011,563.25,10,0,0,614.4,4358,89383192,100,0,363.75,12.31,4477.762
18.22,1,0,60,10,0,-100,238.6,655.35,4,0,4348.007,563.25,8,0,0,614.4,4348,89383192,100,0,365.55,12.1,4423.155
18.147,1,0,60.007,10,0,-100,238.533,655.35,4,0,4329.344,563.25,9.333,0,0,614.4,4329.333,89383192,100,0,366.8,12.17,4463.956
18.11,1,0,60.01,10,0,-100,238.5,655.35,4,0,4320.012,563.25,10,0,0,614.4,4320,89383192,100,0,366.8,12.17,4463.956
18.11,1,0,60.01,10,0,-100,238.5,655.35,4,0,4320.012,563.25,10,0,0,614.4,4320,89383192,100,0,363.3,11.93,4334.169
17.59,1,0,60.01,10,0,-100,238.5,655.35,4,0,4194.01,563.25,9,0,0,614.4,4194,89383200,100,0,363.3,11.93,4334.169
17.59,1,0,60.01,10,0,-100,238.5,655.35,4,0,4194.01,563.25,9,0,0,614.4,4194,89383200,100,0,365.2,11.79,4305.708
17.553,1,0,60.01,10,0,-100,238.5,655.35,4,0,4186.01,563.25,9,0,0,614.4,4186,89383200,100,0,363.25,11.79,4282.718
17.48,1,0,60.01,10,0,-100,238.5,655.35,4,0,4170.01,563.25,9,0,0,614.4,4170,89383200,100,0,363.25,11.79,4282.718
17.54,1,0,60,10,0,-100,238.4,655.35,4,0,4180.01,563.25,9,0,0,614.4,4180,89383200,100,0,365.1,11.89,4341.039
17.87,1,0,60,10,0,-100,238.4,655.35,4,0,4266.012,563.25,10,0,0,614.4,4266,89383208,100,0,363.75,12.24,4452.3
17.87,1,0,60,10,0,-100,238.4,655.35,4,0,4266.012,563.25,10,0,0,614.4,4266,89383208,100,0,363.75,12.24,4452.3
17.87,1,0,60,10,0,-100,238.4,655.35,4,0,4266.012,563.25,10,0,0,614.4,4266,89383208,100,0,365.25,12.79,4671.548
18.58,1,0,60,10,0,-100,238.5,655.35,4,0,4432.011,563.25,10,0,0,614.4,4432,89383208,100,0,365.25,12.79,4671.548
19.67,1,0,59.99,10,0,-100,238.6,655.35,4,0,4675.011,563.25,10,0,0,614.4,4675,89383216,100,0,366.4,13.56,4968.384
20.75,1,0,59.99,10,0,-100,238.733,655.35,4,0,4966.345,563.25,10.667,0,0,614.4,4966.333,89383216,100,0,366.5,15.08,5526.82
21.29,1,0,59.99,10,0,-100,238.8,655.35,4,0,5112.012,563.25,11,0,0,614.4,5112,89383216,100,0,366.5,15.08,5526.82
21.29,1,0,59.99,10,0,-100,238.8,655.35,4,0,5112.012,563.25,11,0,0,614.4,5112,89383216,100,0,366.7,17,6233.9
23.82,1,0,59.99,10,0,-100,239.1,655.35,4,0,5736.01,563.25,11,0,0,614.4,5736,89383216,100,0,366.7,17,6233.9
23.82,1,0,59.99,10,0,-100,239.1,655.35,4,0,5736.02,563.25,15,0,0,614.4,5736,89383224,100,0,369.35,19.68,7268.808
25.72,1,0,59.99,10,0,-100,239.35,655.35,4,0,6204.025,563.25,17.5,0,0,614.4,6204,89383224,100,0,367.65,21.03,7731.68
27.62,1,0,59.99,10,0,-100,239.6,655.35,4,0,6672.03,563.25,20,0,0,614.4,6672,89383224,100,0,367.65,21.03,7731.68
27.62,1,0,59.99,10,0,-100,239.6,655.35,4,0,6672.03,563.25,20,0,0,614.4,6672,89383224,100,0,368.8,20.36,7508.768
