FL_Test | INFO flwr 2026-01-06 20:27:05,569 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=28, round_timeout=None)
FL_Test | INFO flwr 2026-01-06 20:27:05,583 | app.py:176 | Flower ECE: gRPC server running (28 rounds), SSL is disabled
FL_Test | INFO flwr 2026-01-06 20:27:05,583 | server.py:89 | Initializing global parameters
FL_Test | INFO flwr 2026-01-06 20:27:05,585 | server.py:276 | Requesting initial parameters from one random client
FL_Test | INFO flwr 2026-01-06 20:27:41,783 | server.py:280 | Received initial parameters from one random client
FL_Test | INFO flwr 2026-01-06 20:27:41,783 | server.py:91 | Evaluating initial parameters
FL_Test | INFO flwr 2026-01-06 20:27:41,783 | server.py:104 | FL starting
FL_Test | DEBUG flwr 2026-01-06 20:27:55,864 | server.py:222 | fit_round 1: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:29:39,747 | server.py:236 | fit_round 1 received 4 results and 0 failures
FL_Test | WARNING flwr 2026-01-06 20:29:39,777 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
FL_Test | DEBUG flwr 2026-01-06 20:29:39,799 | server.py:173 | evaluate_round 1: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:29:41,446 | server.py:187 | evaluate_round 1 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 20:29:41,446 | server.py:222 | fit_round 2: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:31:26,126 | server.py:236 | fit_round 2 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 20:31:26,168 | server.py:173 | evaluate_round 2: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:31:27,829 | server.py:187 | evaluate_round 2 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 20:31:27,830 | server.py:222 | fit_round 3: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:33:14,466 | server.py:236 | fit_round 3 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 20:33:14,512 | server.py:173 | evaluate_round 3: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:33:16,167 | server.py:187 | evaluate_round 3 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 20:33:16,168 | server.py:222 | fit_round 4: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:35:01,135 | server.py:236 | fit_round 4 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 20:35:01,177 | server.py:173 | evaluate_round 4: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:35:02,837 | server.py:187 | evaluate_round 4 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 20:35:02,837 | server.py:222 | fit_round 5: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:36:33,739 | server.py:236 | fit_round 5 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 20:36:33,781 | server.py:173 | evaluate_round 5: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:36:35,444 | server.py:187 | evaluate_round 5 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 20:36:35,445 | server.py:222 | fit_round 6: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:38:06,413 | server.py:236 | fit_round 6 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 20:38:06,455 | server.py:173 | evaluate_round 6: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:38:08,153 | server.py:187 | evaluate_round 6 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 20:38:08,154 | server.py:222 | fit_round 7: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:39:39,666 | server.py:236 | fit_round 7 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 20:39:39,708 | server.py:173 | evaluate_round 7: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:39:41,355 | server.py:187 | evaluate_round 7 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 20:39:41,355 | server.py:222 | fit_round 8: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:41:13,477 | server.py:236 | fit_round 8 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 20:41:13,519 | server.py:173 | evaluate_round 8: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:41:15,183 | server.py:187 | evaluate_round 8 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 20:41:15,183 | server.py:222 | fit_round 9: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:42:45,052 | server.py:236 | fit_round 9 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 20:42:45,094 | server.py:173 | evaluate_round 9: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:42:46,712 | server.py:187 | evaluate_round 9 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 20:42:46,712 | server.py:222 | fit_round 10: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:44:18,447 | server.py:236 | fit_round 10 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 20:44:18,487 | server.py:173 | evaluate_round 10: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:44:20,163 | server.py:187 | evaluate_round 10 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 20:44:20,164 | server.py:222 | fit_round 11: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:45:51,619 | server.py:236 | fit_round 11 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 20:45:51,661 | server.py:173 | evaluate_round 11: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:45:53,323 | server.py:187 | evaluate_round 11 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 20:45:53,324 | server.py:222 | fit_round 12: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:47:23,743 | server.py:236 | fit_round 12 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 20:47:23,785 | server.py:173 | evaluate_round 12: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:47:25,469 | server.py:187 | evaluate_round 12 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 20:47:25,470 | server.py:222 | fit_round 13: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:48:56,149 | server.py:236 | fit_round 13 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 20:48:56,187 | server.py:173 | evaluate_round 13: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:48:57,854 | server.py:187 | evaluate_round 13 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 20:48:57,855 | server.py:222 | fit_round 14: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:50:27,478 | server.py:236 | fit_round 14 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 20:50:27,519 | server.py:173 | evaluate_round 14: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:50:29,186 | server.py:187 | evaluate_round 14 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 20:50:29,187 | server.py:222 | fit_round 15: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:52:51,344 | server.py:236 | fit_round 15 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 20:52:51,385 | server.py:173 | evaluate_round 15: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:52:53,049 | server.py:187 | evaluate_round 15 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 20:52:53,050 | server.py:222 | fit_round 16: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:55:15,234 | server.py:236 | fit_round 16 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 20:55:15,275 | server.py:173 | evaluate_round 16: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:55:16,915 | server.py:187 | evaluate_round 16 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 20:55:16,916 | server.py:222 | fit_round 17: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:56:45,803 | server.py:236 | fit_round 17 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 20:56:45,843 | server.py:173 | evaluate_round 17: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:56:47,494 | server.py:187 | evaluate_round 17 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 20:56:47,495 | server.py:222 | fit_round 18: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:58:15,789 | server.py:236 | fit_round 18 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 20:58:15,830 | server.py:173 | evaluate_round 18: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:58:17,482 | server.py:187 | evaluate_round 18 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 20:58:17,482 | server.py:222 | fit_round 19: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:59:50,702 | server.py:236 | fit_round 19 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 20:59:50,744 | server.py:173 | evaluate_round 19: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 20:59:52,416 | server.py:187 | evaluate_round 19 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 20:59:52,417 | server.py:222 | fit_round 20: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 21:01:24,755 | server.py:236 | fit_round 20 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 21:01:24,796 | server.py:173 | evaluate_round 20: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 21:01:26,515 | server.py:187 | evaluate_round 20 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 21:01:26,515 | server.py:222 | fit_round 21: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 21:02:58,142 | server.py:236 | fit_round 21 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 21:02:58,182 | server.py:173 | evaluate_round 21: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 21:02:59,830 | server.py:187 | evaluate_round 21 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 21:02:59,830 | server.py:222 | fit_round 22: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 21:04:30,551 | server.py:236 | fit_round 22 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 21:04:30,593 | server.py:173 | evaluate_round 22: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 21:04:32,246 | server.py:187 | evaluate_round 22 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 21:04:32,246 | server.py:222 | fit_round 23: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 21:06:03,937 | server.py:236 | fit_round 23 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 21:06:03,978 | server.py:173 | evaluate_round 23: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 21:06:05,656 | server.py:187 | evaluate_round 23 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 21:06:05,657 | server.py:222 | fit_round 24: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 21:07:36,268 | server.py:236 | fit_round 24 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 21:07:36,309 | server.py:173 | evaluate_round 24: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 21:07:38,002 | server.py:187 | evaluate_round 24 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 21:07:38,002 | server.py:222 | fit_round 25: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 21:09:06,351 | server.py:236 | fit_round 25 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 21:09:06,392 | server.py:173 | evaluate_round 25: strategy sampled 4 clients (out of 16)
FL_Test | DEBUG flwr 2026-01-06 21:09:08,037 | server.py:187 | evaluate_round 25 received 4 results and 0 failures
FL_Test | DEBUG flwr 2026-01-06 21:09:08,038 | server.py:222 | fit_round 26: strategy sampled 4 clients (out of 16)
